AGING001,-0.32,-0.32,-0.14,0.52
AGING002,2.01,-0.51,0.63,0.36
AGING003,-0.56,0.20,0.42,-0.91
AGING006,-1.05,0.01,0.90,-0.93
AGING007,-0.20,-1.42,0.22,0.30
AGING009,1.67,0.58,1.23,1.15
AGING010,-0.21,-0.95,1.58,-0.34
AGING011,0.00,-0.92,0.84,-0.68
AGING012,0.18,-0.60,0.47,-0.76
AGING013,-0.77,-0.51,0.40,0.72
AGING014,2.19,0.90,-1.57,2.90
AGING015,-1.29,-0.40,0.36,-1.08
AGING017,-0.24,0.40,-1.12,-0.90
AGING018,-0.55,-0.04,0.48,0.69
AGING020,-0.27,-0.80,-0.48,1.59
AGING021,-0.11,-0.34,1.59,-0.12
AGING022,-0.22,-0.49,-0.12,0.31
AGING023,-1.59,1.37,-0.75,0.13
AGING024,0.30,-0.74,0.11,-0.94
AGING025,0.26,-0.48,0.30,-0.56
AGING026,0.26,-0.95,-1.68,-0.34
AGING028,0.45,-1.86,0.74,0.49
AGING030,-1.38,1.14,-0.23,0.66
AGING031,-0.87,0.05,0.15,-0.22
AGING033,0.61,1.61,-0.03,0.12
AGING038,0.60,2.34,1.17,0.16
AGING039,1.24,-0.49,-1.97,-0.50
AGING040,0.41,-1.71,0.86,0.12
AGING041,0.75,-0.27,-1.47,0.92
AGING043,0.01,-0.69,-1.89,0.06
AGING044,-1.34,0.64,1.53,-0.24
AGING045,0.36,-1.23,0.17,-0.34
AGING046,-1.51,0.48,-0.66,0.47
AGING047,-1.39,0.76,-0.82,1.57
AGING048,-1.10,-0.22,-1.77,0.13
AGING049,0.90,2.70,-0.35,-2.81
AGING050,-0.65,0.37,-1.11,-0.64
AGING054,-1.09,0.10,-0.58,-0.38
AGING055,-0.43,-0.66,0.25,0.01
AGING060,1.79,0.01,0.34,-1.34
AGING061,1.57,0.02,0.80,0.43
AGING062,-0.06,2.07,1.99,2.07
AGING063,1.65,0.88,-0.80,-1.86
